day_of_week,time_of_day_seconds,rfid_hold_duration_ms,tof_sample_interval_ms,tof_distance_mm_array
2,66524,0,50,"[130, 90, 57, 49, 37, 46, 33, 30, 36, 37, 33, 33]"
3,29565,0,50,"[152, 97, 52, 37, 29, 36, 31, 32, 34, 33, 37, 37]"
3,66662,0,50,"[97, 64, 43, 43, 50, 36, 31, 36, 31, 36, 37, 33]"
4,28615,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
5,1934,0,50,"[88, 49, 33, 32, 41, 35, 38, 28, 33, 31, 33, 33]"
5,42019,0,50,"[179, 114, 94, 62, 42, 39, 31, 34, 34, 32, 37, 27]"
5,71894,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
6,46389,0,50,"[179, 114, 94, 62, 42, 39, 31, 34, 34, 32, 37, 27]"
6,75839,0,50,"[88, 49, 33, 32, 41, 35, 38, 28, 33, 31, 33, 33]"
0,27054,0,50,"[130, 90, 57, 49, 37, 46, 33, 30, 36, 37, 33, 33]"
0,67219,0,50,"[152, 97, 52, 37, 29, 36, 31, 32, 34, 33, 37, 37]"
1,26583,0,50,"[148, 99, 53, 37, 40, 27, 36, 32, 33, 34, 35, 32]"
1,63475,0,50,"[171, 115, 74, 43, 37, 46, 35, 32, 39, 32, 38, 32]"
2,30545,0,50,"[97, 63, 44, 39, 44, 34, 37, 36, 31, 33, 33, 34]"
2,67065,0,50,"[88, 49, 33, 32, 41, 35, 38, 28, 33, 31, 33, 33]"
3,27968,0,50,"[171, 115, 74, 43, 37, 46, 35, 32, 39, 32, 38, 32]"
3,65087,0,50,"[77, 46, 39, 44, 30, 36, 26, 36, 33, 32, 35, 39]"
4,29327,0,50,"[130, 90, 57, 49, 37, 46, 33, 30, 36, 37, 33, 33]"
4,66068,0,50,"[55, 43, 41, 32, 32, 34, 36, 36, 35, 32, 35, 34]"
4,86091,0,50,"[167, 112, 67, 39, 50, 36, 37, 33, 31, 33, 29, 36]"
6,1248,0,50,"[152, 97, 52, 37, 29, 36, 31, 32, 34, 33, 37, 37]"
0,28572,0,50,"[167, 112, 67, 39, 50, 36, 37, 33, 31, 33, 29, 36]"
0,68950,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
1,24962,0,50,"[97, 64, 43, 43, 50, 36, 31, 36, 31, 36, 37, 33]"
1,63591,0,50,"[97, 64, 43, 43, 50, 36, 31, 36, 31, 36, 37, 33]"
2,25789,0,50,"[152, 97, 52, 37, 29, 36, 31, 32, 34, 33, 37, 37]"
2,68353,0,50,"[97, 63, 44, 39, 44, 34, 37, 36, 31, 33, 33, 34]"
3,25787,0,50,"[114, 75, 51, 37, 45, 47, 44, 36, 31, 32, 30, 36]"
3,65760,0,50,"[97, 63, 44, 39, 44, 34, 37, 36, 31, 33, 33, 34]"
4,25420,0,50,"[130, 90, 57, 49, 37, 46, 33, 30, 36, 37, 33, 33]"
4,64984,0,50,"[35, 32, 31, 35, 33, 34, 31, 35, 37, 31, 34, 31]"
5,43855,0,50,"[143, 79, 47, 45, 33, 39, 41, 34, 34, 36, 30, 35]"
5,70378,0,50,"[167, 112, 67, 39, 50, 36, 37, 33, 31, 33, 29, 36]"
6,67723,0,50,"[67, 48, 47, 41, 35, 33, 31, 34, 33, 36, 34, 33]"
0,27105,0,50,"[77, 46, 39, 44, 30, 36, 26, 36, 33, 32, 35, 39]"
1,2453,0,50,"[148, 99, 53, 37, 40, 27, 36, 32, 33, 34, 35, 32]"
1,24774,0,50,"[179, 114, 94, 62, 42, 39, 31, 34, 34, 32, 37, 27]"
1,67626,0,50,"[137, 78, 52, 37, 29, 38, 29, 36, 36, 32, 34, 36]"
2,24729,0,50,"[167, 112, 67, 39, 50, 36, 37, 33, 31, 33, 29, 36]"
2,63977,0,50,"[205, 150, 103, 70, 46, 44, 30, 38, 33, 31, 32, 33]"
3,53394,0,50,"[114, 75, 51, 37, 45, 47, 44, 36, 31, 32, 30, 36]"
5,80507,0,50,"[139, 62, 40, 49, 38, 35, 33, 31, 30, 36, 29, 31]"
6,65389,0,50,"[148, 99, 53, 37, 40, 27, 36, 32, 33, 34, 35, 32]"
0,25331,0,50,"[130, 90, 57, 49, 37, 46, 33, 30, 36, 37, 33, 33]"
0,65587,0,50,"[130, 90, 57, 49, 37, 46, 33, 30, 36, 37, 33, 33]"
1,29922,0,50,"[139, 62, 40, 49, 38, 35, 33, 31, 30, 36, 29, 31]"
1,67696,0,50,"[55, 43, 41, 32, 32, 34, 36, 36, 35, 32, 35, 34]"
