day_of_week,time_of_day_seconds,rfid_hold_duration_ms,tof_sample_interval_ms,tof_distance_mm_array
3,64484,2549,50,"[461, 439, 414, 394, 376, 359, 335, 320, 304, 285, 268, 248, 234, 223, 203, 193, 183, 168, 160, 156, 142, 136, 128, 114, 105, 100, 99, 89, 79, 72, 72, 71, 61, 58, 59, 58, 61, 53, 50, 51, 57, 51, 51, 49, 51, 50]"
4,25554,1616,50,"[545, 493, 448, 398, 357, 322, 291, 251, 226, 198, 168, 154, 127, 113, 96, 83, 66, 65, 56, 49, 46, 39, 40, 43, 46, 43, 43, 43]"
4,65563,2505,50,"[551, 522, 504, 473, 451, 426, 396, 377, 351, 326, 313, 293, 278, 251, 235, 210, 206, 188, 179, 156, 148, 138, 123, 116, 99, 91, 80, 84, 71, 64, 50, 50, 50, 36, 37, 40, 36, 38, 31, 35, 24, 32, 29, 30, 30]"
5,32814,1881,50,"[454, 420, 385, 359, 330, 307, 281, 248, 233, 212, 189, 164, 148, 137, 118, 101, 98, 82, 70, 66, 55, 49, 38, 40, 31, 32, 30, 33, 26, 30, 30, 28, 27]"
5,70042,1951,50,"[536, 498, 459, 433, 399, 371, 352, 324, 289, 273, 249, 223, 216, 185, 164, 158, 142, 129, 119, 105, 87, 81, 69, 71, 54, 56, 48, 39, 41, 41, 36, 47, 35, 34, 35]"
6,34029,1677,50,"[488, 462, 419, 389, 357, 329, 296, 261, 239, 222, 192, 171, 150, 129, 119, 106, 86, 73, 75, 64, 59, 46, 54, 42, 44, 36, 41, 39, 39, 37, 38]"
6,68797,1763,50,"[487, 448, 418, 386, 360, 323, 306, 277, 248, 225, 212, 177, 163, 148, 134, 122, 105, 95, 85, 84, 67, 65, 70, 58, 52, 53, 52, 42, 45, 43, 41]"
0,27407,1885,50,"[512, 472, 448, 417, 385, 361, 329, 307, 285, 260, 238, 210, 191, 182, 171, 141, 137, 116, 115, 103, 88, 79, 72, 67, 53, 52, 48, 47, 43, 46, 42, 43, 40, 42, 40]"
0,64808,1979,50,"[477, 444, 411, 390, 367, 332, 302, 290, 277, 241, 223, 202, 195, 169, 149, 141, 131, 117, 117, 104, 91, 89, 75, 69, 70, 59, 55, 50, 51, 52, 38, 36, 44, 43, 42, 41, 42]"
1,25957,2258,50,"[519, 493, 458, 440, 421, 386, 370, 347, 326, 297, 286, 265, 242, 227, 214, 191, 182, 172, 154, 140, 136, 118, 110, 104, 101, 84, 72, 71, 63, 65, 70, 60, 54, 54, 46, 51, 49, 55, 56, 55, 53, 54]"
1,65982,2414,50,"[478, 452, 424, 401, 387, 363, 343, 324, 306, 285, 267, 249, 237, 215, 202, 196, 178, 178, 163, 150, 136, 137, 128, 115, 101, 92, 89, 83, 82, 65, 59, 61, 59, 52, 47, 49, 55, 60, 62, 47, 48, 51, 49, 47, 46]"
2,26950,2156,50,"[551, 509, 476, 448, 408, 388, 361, 322, 301, 277, 248, 225, 210, 188, 167, 150, 140, 121, 108, 110, 93, 79, 70, 68, 47, 45, 39, 39, 41, 35, 31, 25, 28, 29, 30, 30, 31, 30, 31]"
2,66184,1989,50,"[470, 435, 405, 382, 359, 342, 311, 293, 267, 245, 230, 209, 193, 179, 165, 152, 139, 131, 110, 110, 103, 91, 88, 66, 66, 69, 56, 60, 56, 53, 50, 49, 45, 54, 50, 49]"
3,26349,1997,50,"[428, 402, 378, 353, 325, 306, 275, 258, 230, 218, 196, 186, 167, 153, 135, 121, 113, 103, 97, 81, 77, 61, 65, 54, 50, 43, 37, 32, 32, 26, 28, 34, 32, 32, 32, 33]"
3,64922,1841,50,"[492, 460, 429, 396, 368, 347, 316, 290, 271, 247, 223, 204, 187, 166, 157, 137, 128, 116, 104, 90, 78, 73, 63, 63, 48, 48, 43, 42, 39, 34, 41, 39, 42, 39]"
4,26625,2467,50,"[432, 406, 396, 376, 355, 332, 316, 302, 279, 270, 252, 245, 230, 207, 198, 180, 177, 165, 152, 144, 133, 128, 121, 110, 106, 94, 88, 77, 73, 70, 58, 63, 56, 55, 61, 47, 47, 53, 45, 45, 52, 49, 45, 46, 47, 48]"
4,64990,1944,50,"[462, 430, 408, 379, 351, 321, 300, 279, 251, 234, 210, 196, 180, 160, 145, 134, 117, 108, 94, 93, 77, 71, 68, 68, 56, 48, 45, 45, 44, 45, 42, 43, 40, 42, 40, 43]"
5,33458,2605,50,"[495, 469, 444, 425, 398, 383, 368, 345, 323, 310, 287, 278, 255, 235, 229, 210, 200, 188, 185, 162, 155, 148, 137, 133, 123, 112, 101, 92, 86, 80, 73, 75, 72, 66, 69, 59, 61, 66, 59, 54, 57, 55, 55, 55, 54, 53, 54]"
5,70655,2131,50,"[461, 428, 404, 373, 356, 328, 308, 288, 260, 242, 222, 199, 184, 173, 165, 147, 136, 124, 122, 99, 95, 80, 77, 58, 65, 58, 53, 43, 40, 45, 38, 38, 42, 42, 43, 43, 43, 44, 46]"
6,33522,2498,50,"[536, 507, 479, 461, 436, 405, 389, 368, 338, 328, 303, 285, 279, 248, 235, 222, 210, 196, 183, 167, 156, 147, 143, 121, 107, 106, 93, 92, 84, 72, 67, 68, 55, 53, 55, 52, 49, 57, 49, 50, 45, 42, 45, 44, 44, 42]"
6,69421,1594,50,"[547, 509, 464, 419, 378, 349, 313, 277, 248, 221, 198, 171, 146, 131, 119, 98, 86, 73, 60, 54, 47, 40, 34, 34, 32, 28, 29, 26, 25]"
0,27041,1494,50,"[461, 414, 368, 337, 290, 262, 237, 210, 183, 148, 140, 114, 91, 80, 69, 55, 44, 38, 40, 31, 28, 35, 33, 32, 35]"
0,65519,1502,50,"[493, 445, 407, 365, 322, 287, 251, 224, 184, 167, 149, 125, 95, 86, 66, 57, 42, 49, 51, 34, 39, 34, 35, 33, 36, 37]"
1,25884,2280,50,"[448, 429, 403, 385, 363, 350, 320, 308, 294, 268, 248, 232, 224, 214, 187, 179, 166, 159, 146, 140, 133, 122, 118, 97, 88, 88, 83, 79, 70, 70, 59, 63, 61, 56, 54, 55, 59, 59, 53, 59, 57]"
1,64933,1691,50,"[533, 485, 436, 388, 355, 319, 283, 251, 214, 184, 165, 142, 117, 104, 89, 73, 58, 55, 45, 44, 36, 34, 40, 32, 30, 29, 31, 28, 32]"
2,25447,2421,50,"[555, 523, 496, 484, 446, 413, 406, 371, 349, 334, 311, 290, 275, 256, 233, 221, 209, 203, 177, 167, 162, 142, 137, 124, 117, 113, 99, 88, 73, 77, 67, 65, 61, 64, 57, 51, 58, 58, 50, 56, 49, 48, 50, 48, 49]"
2,64490,1642,50,"[433, 388, 350, 322, 287, 267, 231, 207, 185, 156, 144, 128, 105, 89, 88, 73, 68, 53, 51, 56, 42, 40, 44, 43, 43, 47, 43, 45, 42]"
3,25556,1956,50,"[491, 459, 437, 407, 382, 352, 320, 300, 271, 252, 236, 212, 196, 172, 162, 141, 136, 125, 115, 106, 89, 85, 80, 69, 72, 58, 62, 43, 43, 39, 46, 54, 46, 52, 52, 46]"
3,64626,1632,50,"[510, 471, 434, 397, 365, 338, 309, 277, 251, 235, 201, 182, 163, 148, 127, 115, 104, 87, 84, 74, 65, 62, 55, 57, 50, 53, 48, 46, 45, 42]"
4,25358,2160,50,"[444, 419, 399, 375, 353, 332, 318, 296, 275, 254, 236, 214, 201, 191, 172, 158, 146, 138, 119, 108, 105, 98, 100, 82, 75, 68, 58, 55, 49, 49, 47, 43, 40, 32, 47, 46, 39, 39, 41, 39]"
4,66131,2524,50,"[537, 505, 481, 457, 429, 405, 383, 359, 333, 307, 292, 271, 257, 240, 228, 211, 190, 179, 166, 156, 141, 132, 121, 108, 102, 83, 84, 68, 66, 60, 54, 47, 44, 38, 32, 39, 42, 31, 35, 34, 32, 30, 33, 32, 28, 31]"
5,32622,2134,50,"[523, 492, 465, 430, 404, 377, 359, 339, 309, 278, 259, 242, 223, 204, 184, 169, 162, 143, 136, 126, 115, 103, 87, 78, 72, 61, 49, 54, 45, 40, 32, 41, 32, 26, 32, 37, 35, 37, 35]"
5,69038,2299,50,"[502, 471, 444, 412, 398, 380, 346, 322, 311, 287, 268, 254, 235, 207, 199, 180, 175, 158, 148, 137, 119, 116, 104, 98, 87, 80, 65, 59, 52, 57, 47, 44, 39, 38, 35, 39, 23, 34, 41, 36, 33, 32, 37]"
6,32976,2120,50,"[555, 514, 487, 455, 429, 399, 365, 342, 316, 296, 278, 243, 231, 217, 194, 178, 164, 151, 133, 121, 116, 103, 92, 88, 75, 69, 60, 56, 63, 55, 58, 51, 57, 53, 54, 53, 55, 54]"
6,69648,2200,50,"[505, 479, 448, 422, 398, 377, 347, 319, 295, 276, 258, 231, 212, 198, 183, 163, 147, 139, 124, 112, 97, 91, 80, 75, 62, 62, 54, 49, 48, 44, 30, 28, 30, 32, 42, 33, 33, 30, 32]"
0,25620,1558,50,"[508, 459, 424, 383, 347, 302, 265, 237, 211, 182, 159, 132, 125, 100, 75, 71, 60, 55, 46, 41, 50, 44, 41, 48, 45, 43, 45, 43]"
0,64965,1553,50,"[509, 467, 430, 391, 357, 328, 299, 269, 242, 219, 193, 164, 151, 119, 108, 100, 90, 82, 67, 63, 56, 52, 56, 49, 50, 45, 42, 44]"
1,27335,2214,50,"[529, 500, 472, 435, 415, 380, 365, 341, 311, 298, 266, 241, 234, 211, 191, 179, 165, 146, 134, 119, 111, 104, 94, 89, 81, 65, 63, 55, 50, 53, 52, 54, 49, 51, 44, 45, 43, 43, 42, 44, 43]"
1,65057,1857,50,"[548, 507, 469, 438, 400, 373, 334, 300, 272, 250, 223, 192, 184, 159, 147, 121, 108, 101, 81, 76, 61, 52, 49, 42, 42, 40, 37, 34, 34, 34, 35, 34, 36]"
2,25570,2030,50,"[459, 443, 405, 373, 355, 322, 306, 289, 267, 238, 222, 197, 180, 164, 156, 136, 127, 119, 107, 92, 82, 84, 71, 61, 61, 59, 50, 51, 40, 40, 39, 37, 35, 35, 34, 36]"
2,65747,1803,50,"[456, 422, 395, 355, 327, 301, 276, 251, 227, 202, 179, 168, 143, 133, 112, 102, 94, 89, 76, 72, 74, 60, 53, 59, 57, 55, 50, 52, 49, 53, 50]"
3,25956,1981,50,"[451, 427, 390, 367, 339, 317, 288, 264, 245, 220, 204, 189, 171, 152, 132, 120, 111, 101, 91, 82, 74, 70, 70, 57, 58, 61, 51, 49, 48, 51, 49, 47, 49, 47, 50]"
3,65810,2535,50,"[457, 442, 420, 406, 379, 358, 334, 327, 301, 283, 271, 255, 241, 226, 212, 196, 185, 179, 158, 157, 147, 135, 125, 119, 111, 100, 95, 83, 74, 76, 65, 68, 61, 59, 58, 62, 56, 52, 51, 53, 51, 50, 48, 49, 47, 46, 49, 46]"
4,25497,2345,50,"[459, 434, 416, 386, 374, 356, 335, 309, 292, 272, 257, 237, 224, 210, 197, 187, 170, 162, 151, 137, 127, 120, 107, 102, 99, 92, 87, 81, 73, 67, 55, 57, 53, 53, 44, 52, 57, 53, 48, 49, 51, 52, 51, 52]"
4,65169,1825,50,"[515, 479, 443, 405, 373, 348, 315, 287, 265, 244, 203, 197, 164, 141, 126, 112, 100, 98, 76, 57, 63, 52, 48, 42, 38, 41, 34, 34, 34, 34, 36, 33, 34]"
5,33706,2507,50,"[537, 521, 495, 462, 446, 422, 391, 373, 343, 325, 304, 286, 274, 255, 240, 221, 201, 193, 178, 167, 151, 140, 137, 125, 118, 110, 97, 83, 85, 73, 73, 63, 58, 64, 52, 60, 55, 56, 53, 54, 55, 53, 54, 54, 54]"
5,69288,1853,50,"[553, 519, 484, 447, 416, 387, 354, 329, 294, 266, 248, 225, 205, 179, 158, 147, 136, 116, 108, 93, 90, 76, 79, 60, 56, 55, 56, 41, 40, 43, 41, 39, 41, 39]"
6,32716,2402,50,"[453, 430, 417, 384, 369, 341, 332, 310, 290, 269, 264, 235, 223, 202, 194, 181, 164, 153, 146, 137, 131, 123, 110, 103, 93, 89, 80, 71, 66, 63, 52, 49, 45, 52, 48, 44, 42, 45, 52, 45, 46, 46, 45]"
6,69233,2023,50,"[521, 496, 466, 428, 393, 374, 345, 319, 285, 268, 240, 220, 196, 177, 160, 144, 125, 116, 95, 93, 85, 81, 62, 61, 54, 52, 44, 42, 40, 33, 37, 41, 38, 40, 41, 40, 40]"
0,25486,2625,50,"[455, 436, 410, 390, 374, 352, 331, 309, 294, 272, 255, 249, 227, 211, 200, 182, 172, 162, 148, 139, 130, 113, 109, 106, 88, 80, 78, 60, 62, 57, 50, 43, 46, 41, 33, 30, 33, 37, 30, 35, 32, 28, 30, 30, 30, 29, 29, 30]"
0,64508,1990,50,"[495, 465, 441, 403, 381, 350, 330, 307, 280, 253, 235, 217, 198, 177, 163, 151, 128, 124, 111, 106, 89, 92, 64, 68, 57, 63, 61, 52, 48, 43, 50, 45, 47, 45, 47, 46]"
1,25715,1797,50,"[546, 509, 472, 428, 401, 360, 332, 299, 266, 247, 216, 190, 173, 158, 139, 114, 104, 83, 73, 63, 64, 58, 48, 49, 33, 37, 23, 31, 27, 27, 27, 27]"
1,66364,2276,50,"[522, 495, 466, 437, 414, 383, 361, 339, 311, 286, 269, 248, 221, 204, 190, 182, 165, 153, 137, 119, 111, 103, 94, 94, 85, 69, 60, 56, 55, 49, 52, 47, 45, 46, 41, 40, 42, 42, 43, 40, 45]"
2,25783,2528,50,"[433, 401, 378, 368, 347, 327, 302, 285, 273, 258, 245, 226, 215, 189, 192, 175, 164, 149, 129, 129, 121, 107, 104, 90, 81, 75, 78, 59, 60, 56, 45, 45, 36, 37, 38, 38, 29, 25, 32, 29, 38, 33, 31, 32, 32, 30, 32, 33]"
2,64873,2240,50,"[460, 432, 414, 393, 372, 345, 334, 302, 288, 269, 257, 230, 216, 200, 190, 180, 167, 148, 139, 134, 120, 114, 104, 93, 90, 84, 77, 66, 65, 62, 61, 50, 51, 62, 61, 50, 60, 54, 55, 57, 57]"
3,26959,1818,50,"[502, 460, 431, 392, 370, 333, 298, 269, 242, 217, 196, 173, 157, 136, 123, 106, 91, 81, 67, 64, 58, 51, 45, 40, 36, 39, 33, 35, 34, 34, 31, 34]"
3,65034,2566,50,"[517, 489, 469, 447, 423, 403, 367, 355, 337, 313, 291, 276, 264, 236, 223, 210, 203, 182, 168, 156, 145, 132, 128, 115, 100, 91, 87, 70, 66, 56, 56, 53, 46, 50, 42, 41, 38, 29, 34, 33, 30, 27, 29, 28, 28, 26, 31, 29]"
4,27194,1926,50,"[441, 414, 385, 362, 335, 313, 290, 271, 251, 226, 214, 192, 169, 166, 145, 122, 118, 110, 98, 90, 81, 83, 70, 57, 56, 56, 56, 47, 45, 41, 51, 51, 51, 47, 51]"
4,64931,2072,50,"[474, 437, 424, 396, 378, 345, 328, 303, 283, 261, 238, 213, 198, 180, 169, 152, 130, 126, 114, 103, 86, 80, 78, 69, 57, 55, 47, 47, 38, 27, 31, 35, 24, 25, 22, 29, 28, 28]"
5,33942,2401,50,"[544, 513, 483, 468, 436, 412, 396, 365, 348, 322, 306, 294, 265, 254, 235, 221, 205, 191, 179, 160, 156, 135, 134, 129, 113, 100, 98, 80, 80, 67, 70, 65, 58, 59, 54, 53, 52, 57, 59, 54, 49, 51, 51, 53]"
5,70209,2023,50,"[460, 441, 405, 379, 349, 319, 301, 284, 254, 236, 208, 199, 180, 162, 148, 131, 125, 104, 99, 99, 88, 80, 69, 62, 57, 52, 45, 44, 47, 44, 51, 46, 45, 43, 44, 43, 43]"
6,33065,1611,50,"[558, 504, 459, 416, 370, 337, 304, 275, 235, 208, 184, 157, 136, 117, 105, 95, 75, 60, 53, 53, 41, 32, 39, 38, 38, 36, 36, 35]"
6,68693,2492,50,"[498, 468, 454, 430, 407, 378, 362, 341, 328, 304, 281, 276, 251, 238, 224, 203, 194, 180, 174, 151, 144, 144, 129, 114, 111, 98, 93, 87, 76, 65, 67, 60, 57, 55, 58, 53, 52, 46, 47, 48, 48, 43, 42, 44, 40, 40]"
0,25943,1678,50,"[564, 506, 465, 421, 389, 336, 304, 280, 240, 215, 188, 162, 134, 122, 103, 91, 79, 56, 53, 46, 36, 37, 28, 34, 30, 25, 28, 27, 26]"
0,65363,2236,50,"[518, 504, 462, 437, 413, 389, 364, 338, 317, 293, 276, 251, 230, 215, 205, 187, 166, 165, 144, 135, 117, 108, 94, 88, 84, 70, 65, 56, 56, 50, 51, 44, 38, 42, 42, 40, 34, 38, 38, 39, 37, 38]"
1,25896,1524,50,"[555, 510, 455, 414, 368, 330, 299, 260, 227, 197, 178, 141, 127, 106, 90, 75, 69, 58, 49, 46, 38, 39, 37, 39, 36, 36, 38, 37]"
1,64991,2234,50,"[543, 511, 481, 462, 425, 398, 375, 351, 320, 295, 272, 259, 241, 216, 200, 170, 167, 153, 142, 126, 119, 102, 87, 82, 78, 71, 55, 57, 40, 40, 38, 37, 30, 28, 30, 34, 30, 30, 30, 31, 27, 31]"
2,25735,2320,50,"[559, 536, 497, 468, 436, 409, 385, 361, 332, 312, 302, 276, 257, 234, 212, 204, 186, 174, 149, 141, 126, 122, 99, 101, 83, 82, 66, 58, 54, 54, 49, 46, 41, 42, 43, 49, 41, 39, 38, 41, 40, 43, 42]"
2,64621,2080,50,"[520, 476, 462, 422, 405, 364, 345, 322, 297, 273, 248, 224, 207, 189, 178, 153, 149, 136, 117, 113, 98, 89, 81, 67, 63, 54, 45, 37, 39, 37, 33, 40, 36, 31, 30, 33, 30, 33, 33]"
3,27246,1704,50,"[504, 465, 425, 399, 359, 325, 300, 272, 232, 218, 196, 161, 147, 133, 117, 105, 93, 75, 71, 61, 57, 50, 51, 45, 36, 45, 47, 48, 48, 45]"
3,64740,1727,50,"[515, 474, 436, 388, 363, 335, 295, 266, 232, 212, 189, 166, 146, 125, 113, 105, 91, 75, 75, 58, 56, 52, 48, 43, 46, 47, 46, 47, 46, 46, 42]"
4,25866,2530,50,"[550, 527, 499, 478, 455, 425, 407, 384, 367, 344, 320, 303, 281, 262, 255, 236, 211, 205, 198, 175, 166, 148, 141, 131, 116, 113, 99, 91, 82, 84, 74, 71, 74, 62, 54, 51, 54, 50, 50, 50, 46, 39, 49, 48, 47, 50]"
4,65886,2148,50,"[490, 469, 446, 409, 395, 365, 336, 312, 294, 272, 254, 231, 211, 196, 182, 165, 152, 145, 128, 122, 109, 104, 90, 82, 75, 61, 60, 49, 47, 46, 35, 34, 20, 31, 30, 25, 33, 28, 26, 24]"
5,32305,2458,50,"[447, 425, 405, 381, 355, 343, 323, 307, 281, 273, 251, 241, 221, 204, 195, 177, 167, 162, 150, 136, 139, 122, 109, 116, 99, 85, 89, 80, 69, 67, 61, 59, 62, 57, 55, 52, 57, 51, 56, 53, 52, 50, 53, 53]"
5,69588,2356,50,"[441, 424, 403, 376, 357, 342, 320, 296, 281, 254, 250, 230, 208, 197, 189, 172, 165, 147, 141, 129, 123, 109, 103, 97, 89, 83, 68, 66, 54, 47, 55, 47, 44, 48, 40, 44, 49, 49, 46, 43, 43, 39, 46, 42]"
6,32485,2108,50,"[529, 490, 461, 428, 390, 362, 329, 308, 276, 255, 234, 206, 186, 171, 159, 133, 125, 103, 94, 80, 77, 70, 55, 50, 50, 45, 35, 27, 21, 30, 35, 30, 30, 28, 29, 33, 32]"
6,69504,1955,50,"[443, 412, 383, 357, 329, 311, 283, 264, 240, 213, 198, 179, 168, 142, 126, 117, 106, 100, 91, 70, 70, 65, 59, 49, 44, 35, 32, 36, 29, 38, 29, 35, 33, 34, 34, 35]"
0,26928,1978,50,"[534, 520, 481, 450, 426, 396, 362, 340, 307, 288, 267, 238, 220, 192, 181, 175, 160, 133, 132, 118, 107, 96, 81, 82, 79, 68, 72, 51, 55, 58, 51, 49, 52, 52, 53, 52]"
0,65327,2304,50,"[420, 400, 376, 362, 340, 328, 305, 285, 273, 265, 243, 221, 212, 199, 183, 175, 160, 151, 141, 136, 114, 106, 110, 96, 92, 84, 80, 82, 66, 62, 53, 62, 57, 54, 53, 49, 49, 48, 48, 49, 47, 45]"
1,25333,1849,50,"[435, 409, 380, 347, 320, 300, 276, 245, 230, 200, 186, 162, 151, 139, 118, 116, 98, 91, 85, 71, 60, 60, 61, 58, 47, 45, 41, 45, 42, 42, 43, 41, 42, 42]"
1,65677,1922,50,"[430, 396, 370, 338, 314, 291, 266, 240, 213, 192, 177, 158, 134, 131, 117, 92, 86, 72, 63, 63, 52, 47, 43, 37, 36, 36, 28, 37, 32, 33, 29, 30, 32, 30]"
2,25428,2222,50,"[470, 446, 425, 402, 372, 354, 330, 300, 285, 257, 247, 226, 210, 197, 179, 164, 139, 138, 125, 112, 110, 91, 72, 76, 60, 65, 49, 45, 42, 41, 36, 35, 29, 34, 27, 33, 35, 36, 33, 34, 34, 34]"
2,65636,2096,50,"[477, 444, 427, 406, 374, 353, 326, 298, 277, 258, 246, 219, 205, 195, 177, 158, 147, 135, 127, 118, 107, 92, 88, 78, 72, 66, 60, 47, 49, 39, 43, 42, 41, 31, 39, 38, 41, 38]"
3,25981,2462,50,"[487, 450, 438, 405, 398, 369, 355, 326, 302, 294, 271, 258, 240, 220, 211, 189, 172, 168, 151, 146, 130, 126, 115, 108, 99, 87, 77, 68, 63, 60, 56, 46, 41, 44, 34, 35, 38, 38, 28, 35, 37, 31, 37, 35, 36, 35]"
3,66221,2276,50,"[501, 470, 445, 427, 404, 379, 357, 334, 311, 297, 271, 261, 236, 219, 204, 187, 173, 165, 154, 145, 127, 122, 107, 92, 90, 82, 72, 67, 62, 56, 55, 45, 32, 44, 43, 41, 36, 40, 45, 38, 40, 42]"
4,26506,1518,50,"[530, 474, 439, 396, 353, 317, 278, 245, 217, 186, 161, 143, 127, 101, 92, 74, 64, 53, 55, 54, 48, 51, 47, 50, 49, 49, 48]"
4,64295,2126,50,"[538, 516, 480, 456, 423, 395, 364, 339, 320, 287, 265, 239, 226, 203, 184, 168, 158, 149, 124, 114, 111, 94, 84, 78, 68, 72, 68, 57, 47, 56, 45, 44, 49, 46, 46, 45, 46, 46]"
5,33021,1733,50,"[525, 493, 455, 412, 382, 346, 317, 281, 256, 226, 202, 183, 158, 137, 126, 107, 92, 81, 71, 52, 51, 50, 47, 29, 39, 34, 26, 33, 33, 29, 32]"
5,70327,1907,50,"[529, 481, 445, 425, 378, 355, 329, 290, 276, 240, 214, 192, 173, 161, 136, 133, 117, 94, 93, 79, 75, 68, 59, 60, 52, 49, 43, 43, 46, 46, 47, 42, 45, 42]"
6,33376,1775,50,"[535, 495, 461, 432, 392, 371, 327, 312, 283, 254, 235, 205, 190, 168, 153, 142, 122, 117, 108, 91, 82, 83, 71, 58, 61, 53, 60, 55, 45, 53, 54, 57, 55]"
6,70620,2217,50,"[512, 478, 450, 433, 400, 379, 356, 323, 310, 289, 268, 249, 235, 212, 198, 181, 173, 147, 143, 133, 112, 104, 104, 92, 88, 74, 69, 55, 54, 49, 49, 46, 42, 42, 40, 48, 36, 41, 41, 43, 39]"
0,26830,2310,50,"[560, 523, 500, 478, 452, 422, 401, 372, 346, 328, 308, 288, 263, 237, 233, 216, 195, 178, 171, 161, 145, 140, 127, 112, 111, 96, 91, 83, 74, 67, 65, 59, 52, 62, 54, 50, 48, 61, 59, 57, 57]"
0,65859,1698,50,"[501, 465, 422, 386, 348, 316, 284, 250, 220, 199, 170, 149, 132, 120, 98, 90, 80, 72, 67, 61, 53, 40, 44, 46, 45, 42, 47, 48, 44, 44]"
1,26904,1570,50,"[498, 457, 418, 384, 350, 316, 287, 255, 226, 199, 184, 166, 136, 123, 122, 89, 91, 79, 71, 57, 63, 61, 62, 66, 55, 53, 54]"
1,66217,2170,50,"[541, 513, 480, 450, 432, 399, 379, 345, 334, 307, 290, 269, 242, 226, 207, 203, 181, 166, 156, 149, 133, 122, 110, 100, 90, 78, 79, 75, 71, 57, 55, 53, 46, 45, 48, 42, 43, 47, 51, 53]"
2,25699,1669,50,"[549, 510, 463, 428, 397, 365, 329, 293, 269, 242, 219, 196, 175, 154, 146, 119, 104, 92, 82, 75, 70, 62, 55, 52, 44, 46, 51, 53, 54, 50]"
